Title,Authors,Year,Venue,DOI
The research data centres of the Federal Statistical Office and the statistical offices of the Länder,"['S Zühlke', 'M Zwick']",2004,Journal of …,https://elibrary.duncker-humblot.com/article/70037/the-research-data-centres-of-the-federal-statistical-office-and-the-statistical-offices-of-the-lander
Federal Statistical Research Data Center Infosession,"['C Bollinger', 'C Hokayem']",2020,NA,https://scholarworks.iu.edu/dspace/bitstream/handle/2022/25831/2020_09_25_KRDC_Infosession_slides.pdf?sequence=1
United states data center energy usage report,"['A Shehabi', 'S Smith', 'D Sartor', 'R Brown', 'M Herrlin']",2016,NA,https://escholarship.org/content/qt84p772fc/qt84p772fc.pdf
Role of federal statistical research data centers in promoting transparency and reproducibility in federal statistics,['M Levenstein'],2020,NA,https://deepblue.lib.umich.edu/handle/2027.42/156083
Statistical déjà vu: The National Data Center proposal of 1965 and its descendants,['R Kraus'],2013,Journal of Privacy and Confidentiality,https://journalprivacyconfidentiality.org/index.php/jpc/article/view/624
The National Data Center and the Federal Information Network: A Paradox,['S Cawley'],2015,Vanderbilt Undergraduate Research Journal,https://vurj.vanderbilt.edu/index.php/vurj/article/view/4065
Summary of a workshop on information technology research for federal statistics,"['National Research Council', 'Commission on Behavioral']",2000,NA,https://books.google.com/books?hl=en&lr=&id=lDecAgAAQBAJ&oi=fnd&pg=PR1&dq=Federal+Statistical+Research+Data+Centers&ots=i_Ca4z51GG&sig=o6H-1NnXm7WuPWRJaqgvWsSTQz0
"Federal statistics, multiple data sources, and privacy protection","['RM Groves', 'BA Harris-Kojetin']",2017,NA,https://www.ncbi.nlm.nih.gov/books/NBK475779/pdf/Bookshelf_NBK475779.pdf
Future of innovation in the Federal Statistical System,['H Habermann'],2010,The ANNALS of the American Academy of …,https://journals.sagepub.com/doi/abs/10.1177/0002716210374014
Data center energy consumption modeling: A survey,"['M Dayarathna', 'Y Wen', 'R Fan']",2015,IEEE Communications surveys …,https://ieeexplore.ieee.org/abstract/document/7279063/
The nation's data at risk: The first annual report on the federal statistical system,"['J Auerbach', 'C McKay Bowen', 'CF Citro']",2025,Harvard Data …,https://assets.pubpub.org/9omntsu7/Auerbach%20et%20al.%20(2024)_Just%20Accepted-71732315085762.pdf
Federal Statistical System',['JS Cecil'],NA,NA,N/A
Innovations in federal statistics: Combining data sources while protecting privacy,"['BA Harris-Kojetin', 'RM Groves']",2017,NA,https://books.google.com/books?hl=en&lr=&id=gfydDgAAQBAJ&oi=fnd&pg=PR1&dq=Federal+Statistical+Research+Data+Centers&ots=IB7HWItK-k&sig=GuGZWwVW4RUfAoGvMBd1UyxZbL0
Crossroad choices for the future Development of the Federal statistical system,['RT Bowman'],1968,Journal of the American Statistical Association,https://www.tandfonline.com/doi/abs/10.1080/01621459.1968.11009310
New possibilities for socio-economic research through longitudinal data from the Research Data Centre of the German Federal Pension Insurance (FDZ-RV),"['RK Himmelreicher', 'M Stegmann']",2008,Journal of …,https://elibrary.duncker-humblot.com/doi:10.3790/schm.128.4.647
What is political interference in federal statistics?,['K Prewitt'],2010,The Annals of the American Academy of Political …,https://journals.sagepub.com/doi/abs/10.1177/0002716210373737
Principles and practices for a federal statistical agency,['CF Citro'],2017,NA,https://books.google.com/books?hl=en&lr=&id=MXwzDwAAQBAJ&oi=fnd&pg=PR1&dq=Federal+Statistical+Research+Data+Centers&ots=NECFlPNBcw&sig=-_AGXqqJQwRu-_om6nwRDyR7V38
Information distribution practices of federal statistical agencies: The census bureau example,['FC Gey'],1993,Government Information Quarterly,https://www.sciencedirect.com/science/article/pii/0740624X9390016S
Using Government Administrative and Other Data for Federal Statistics,"['BA Harris-Kojetin', 'RM Groves']",2017,… in Federal Statistics …,https://www.ncbi.nlm.nih.gov/books/NBK425873/
